Team,Day,X,Y
Crabs,28,0.01343,0.61821
Crabs,29,-0.03427,0.52903
Crabs,30,-0.10986,0.46208
Crabs,31,-0.16129,0.37472
Crabs,32,-0.24487503626050908,0.4294987831108261
Crabs,33,-0.2927498561956453,0.3391134059951397
Crabs,34,-0.33923011764183003,0.24761402830779233
Crabs,35,-0.3920114734201361,0.15929999248710547
Crabs,36,-0.4438702414740541,0.0704631567156644
Crabs,37,-0.48804999729827836,-0.022775834467190226
Crabs,38,-0.5357126676374265,-0.11460141705640364
Crabs,39,-0.612677762392978,-0.05215744266931857
Crabs,40,-0.6619352818806424,0.03179087925971544
Crabs,41,-0.6944222995228709,-0.06736116678658699
Crabs,42,-0.7291005539044374,-0.16574585746330261
Crabs,43,-0.6867128716651079,-0.07991756388144344
Crabs,44,-0.7360697186463535,-0.17176068156549207
Crabs,45,-0.7677272402024325,-0.2711051142787656
Crabs,46,-0.7886874287710934,-0.3735825450331447
Crabs,47,-0.8244216582497245,-0.47213651940460827
Crabs,48,-0.8575855605989813,-0.5718413733728905
Crabs,49,-0.8909097997258948,-0.6717506505207549
Crabs,50,-0.9237432346449238,-0.7718012067837741
Crabs,51,-0.9488468739206894,-0.8740052135211297
Crabs,52,-0.9867875269031772,-0.9724462097885325
Crabs,53,-1,-1
Crabs,54,-1,-1
Dale,28,-0.64451,0.34131
Dale,29,-0.64006,0.22576
Dale,30,-0.60871,0.11661
Dale,31,-0.59894,0.00162
Dale,32,-0.6237266117234224,-0.11259914986019844
Dale,33,-0.6699390691282913,-0.22025955838563677
Dale,34,-0.7116080488788243,-0.3300641765709633
Dale,35,-0.6187791064878971,-0.351624722669586
Dale,36,-0.6144450568727792,-0.4661143022576148
Dale,37,-0.6735447922372431,-0.5682608668952862
Dale,38,-0.5876155976560455,-0.6075842426838832
Dale,39,-0.6355276494036105,-0.7138879182505395
Dale,40,-0.5512758098609449,-0.7417474804820193
Dale,41,-0.6574196890980936,-0.8015429764682773
Dale,42,-0.7637024347243406,-0.8619411649457722
Dale,43,-0.8695408382562733,-0.9237781401959062
Dale,44,-0.9643217446168765,-1
Dale,45,-0.9872006138002472,-1
Dale,46,-1,-1
Dale,47,-1,-1
Dale,48,-1,-0.9
Dale,49,-1,-1
Dale,50,-1,-1
Dale,51,-1,-1
Dale,52,-0.9292893218813453,-0.9292893218813453
Dale,53,-0.9579363411229722,-0.8478263456732236
Dale,54,-0.912381697028195,-0.9576068303818389
------------,28,0.1746,0.91985
------------,29,0.24803,0.85742
------------,30,0.30565,0.78318
------------,31,0.3773,0.71769
------------,32,0.46643218823041316,0.6690361865926611
------------,33,0.564012009591372,0.6321109637198356
------------,34,0.607415901198497,0.5486666091650882
------------,35,0.636560471687281,0.46098906799590045
------------,36,0.6769640642538373,0.3755616080838452
------------,37,0.7106925788783056,0.2876571447668674
------------,38,0.7519440416969603,0.20110045231240842
------------,39,0.7679549516369347,0.10974109062996516
------------,40,0.8022318796939067,0.020174484976020396
------------,41,0.8343981575212986,-0.07056269334635985
------------,42,0.766483152616925,-0.12184389918315187
------------,43,0.8611460404135386,-0.17361907924363715
------------,44,0.854260817668438,-0.265258902068731
------------,45,0.796907012294628,-0.32966827759750883
------------,46,0.8672571166298597,-0.4070201614151092
------------,47,0.9030127410434291,-0.5001874227414445
------------,48,0.8555585231748501,-0.5752976518005338
------------,49,0.9023725462374003,-0.6665828382299367
------------,50,0.9441612133220121,-0.760234459818324
------------,51,0.9811094063625379,-0.8558959235832123
------------,52,1,-0.9539791910967887
------------,53,1,-1
------------,54,0.9441685566924273,-0.9284515975637498
Flowers,28,-0.86879,0.26492
Flowers,29,-0.7746,0.21755
Flowers,30,-0.67835,0.19714
Flowers,31,-0.5974,0.12653
Flowers,32,-0.5427432511420518,0.027968511667948864
Flowers,33,-0.456036847405469,-0.021546633846653493
Flowers,34,-0.36791844607781893,-0.023250162385554687
Flowers,35,-0.28205567519722274,-0.0632921198066639
Flowers,36,-0.21584942682246333,-0.14129749211041803
Flowers,37,-0.1441974448533277,-0.20792942097625217
Flowers,38,-0.18114946749648492,-0.12491957613244468
Flowers,39,-0.11039934915919339,-0.19226393588431145
Flowers,40,-0.035784066713356724,-0.24817724711998174
Flowers,41,0.03169333515864538,-0.31411650805432867
Flowers,42,0.10460911756768938,-0.3660159648582455
Flowers,43,0.145678929959212,-0.29817013809043
Flowers,44,0.030251185007363762,-0.33869392018763556
Flowers,45,0.09272907170705638,-0.2940156663737715
Flowers,46,0.15420188567670054,-0.36515956703829233
Flowers,47,0.2175112308477503,-0.32235408467764576
Flowers,48,0.2928034748135735,-0.36164362159565566
Flowers,49,0.35827392783451384,-0.3234122490454021
Flowers,50,0.4168474919636978,-0.39363772403682573
Flowers,51,0.49019244803079476,-0.37485066861096666
Flowers,52,0.43064400141759035,-0.29140635332460335
Flowers,53,0.33840210878558996,-0.23102011390944704
Flowers,54,0.23489449137341373,-0.18587025492597709
Garages,28,-0.60628,0.21936
Garages,29,-0.51408,0.21404
Garages,30,-0.42519,0.219
Garages,31,-0.34303,0.24076
Garages,32,-0.26644521319243847,0.27211259223324025
Garages,33,-0.17887300418855745,0.27160480733932213
Garages,34,-0.12561355760720974,0.32918659287307867
Garages,35,-0.1284766522344872,0.41023730249255036
Garages,36,-0.05089989736933824,0.4360390569558947
Garages,37,0.0279329000496661,0.4514153626298566
Garages,38,0.10366362479383077,0.47183617769918784
Garages,39,0.18705175853400974,0.4614243524385169
Garages,40,0.13433412960719954,0.5339171320095193
Garages,41,0.2065745004264176,0.559254915640732
